"sample","virus","uniquely_mapped_reads","mismatch_rate_per_base"
"SRR22753387","HHV6B","1","9.46%"
"SRR22753387","HHV7","0","-nan%"
"SRR22753387","HSV1_KOS","20","4.87%"
"SRR22753387","HSV2_StrainG","1","10.13%"
"SRR22753387","KSHV","1","1.45%"
"SRR22753387","VZV_Ellen","0","-nan%"
"SRR22753388","combined_herpes_viruses","0","-nan%"
"SRR22753388","EBV","0","-nan%"
"SRR22753388","HCMV","0","-nan%"
"SRR22753388","HHV6B","0","-nan%"
"SRR22753388","HHV7","0","-nan%"
"SRR22753388","HSV1_KOS","23","4.51%"
"SRR22753388","HSV2_StrainG","0","-nan%"
"SRR22753388","KSHV","1","8.82%"
"SRR22753388","VZV_Ellen","0","-nan%"
"SRR22753389","combined_herpes_viruses","0","-nan%"
"SRR22753389","EBV","0","-nan%"
"SRR22753389","HCMV","1","10.34%"
"SRR22753389","HHV6B","0","-nan%"
"SRR22753389","HHV7","0","-nan%"
"SRR22753389","HSV1_KOS","15","4.73%"
"SRR22753389","HSV2_StrainG","1","8.22%"
"SRR22753389","KSHV","2","7.74%"
"SRR22753389","VZV_Ellen","0","-nan%"
"SRR22753390","combined_herpes_viruses","0","-nan%"
"SRR22753390","EBV","0","-nan%"
"SRR22753390","HCMV","0","-nan%"
"SRR22753390","HHV6B","1","10.39%"
"SRR22753390","HHV7","0","-nan%"
"SRR22753390","HSV1_KOS","9","3.35%"
"SRR22753390","HSV2_StrainG","2","8.78%"
"SRR22753390","KSHV","5","6.85%"
"SRR22753390","VZV_Ellen","0","-nan%"
"SRR22753391","combined_herpes_viruses","0","-nan%"
"SRR22753391","EBV","0","-nan%"
"SRR22753391","HCMV","0","-nan%"
"SRR22753391","HHV6B","1","4.35%"
"SRR22753391","HHV7","0","-nan%"
"SRR22753391","HSV1_KOS","20","4.00%"
"SRR22753391","HSV2_StrainG","3","6.73%"
"SRR22753391","KSHV","1","6.41%"
"SRR22753391","VZV_Ellen","0","-nan%"
"SRR22753392","combined_herpes_viruses","0","-nan%"
"SRR22753392","EBV","1","0.00%"
"SRR22753392","HCMV","0","-nan%"
"SRR22753392","HHV6B","0","-nan%"
"SRR22753392","HHV7","0","-nan%"
"SRR22753392","HSV1_KOS","10","2.49%"
"SRR22753392","HSV2_StrainG","0","-nan%"
"SRR22753392","KSHV","1","10.81%"
"SRR22753392","VZV_Ellen","0","-nan%"
"SRR22753393","combined_herpes_viruses","0","-nan%"
"SRR22753393","EBV","0","-nan%"
"SRR22753393","HCMV","0","-nan%"
"SRR22753393","HHV6B","0","-nan%"
"SRR22753393","HHV7","0","-nan%"
"SRR22753393","HSV1_KOS","17","4.53%"
"SRR22753393","HSV2_StrainG","0","-nan%"
"SRR22753393","KSHV","0","-nan%"
"SRR22753393","VZV_Ellen","0","-nan%"
"SRR22753394","combined_herpes_viruses","0","-nan%"
"SRR22753394","EBV","6","0.39%"
"SRR22753394","HCMV","0","-nan%"
"SRR22753394","HHV6B","0","-nan%"
"SRR22753394","HHV7","0","-nan%"
"SRR22753394","HSV1_KOS","52","3.74%"
"SRR22753394","HSV2_StrainG","1","9.33%"
"SRR22753394","KSHV","1","8.00%"
"SRR22753394","VZV_Ellen","0","-nan%"
"SRR22753395","combined_herpes_viruses","0","-nan%"
"SRR22753395","EBV","0","-nan%"
"SRR22753395","HCMV","0","-nan%"
"SRR22753395","HHV6B","0","-nan%"
"SRR22753395","HHV7","0","-nan%"
"SRR22753395","HSV1_KOS","3","2.86%"
"SRR22753395","HSV2_StrainG","0","-nan%"
"SRR22753395","KSHV","4","7.67%"
"SRR22753395","VZV_Ellen","0","-nan%"
"SRR22753396","combined_herpes_viruses","0","-nan%"
"SRR22753396","EBV","0","-nan%"
"SRR22753396","HCMV","0","-nan%"
"SRR22753396","HHV6B","0","-nan%"
"SRR22753396","HHV7","0","-nan%"
"SRR22753396","HSV1_KOS","2","6.85%"
"SRR22753396","HSV2_StrainG","16","7.73%"
"SRR22753396","KSHV","30","7.88%"
"SRR22753396","VZV_Ellen","0","-nan%"
"SRR22753397","combined_herpes_viruses","0","-nan%"
"SRR22753397","EBV","0","-nan%"
"SRR22753397","HCMV","0","-nan%"
"SRR22753397","HHV6B","0","-nan%"
"SRR22753397","HHV7","0","-nan%"
"SRR22753397","HSV1_KOS","4","5.02%"
"SRR22753397","HSV2_StrainG","8","8.37%"
"SRR22753397","KSHV","28","7.75%"
"SRR22753397","VZV_Ellen","0","-nan%"
"SRR22753398","combined_herpes_viruses","0","-nan%"
"SRR22753398","EBV","0","-nan%"
"SRR22753398","HCMV","0","-nan%"
"SRR22753398","HHV6B","2","10.39%"
"SRR22753398","HHV7","0","-nan%"
"SRR22753398","HSV1_KOS","4","5.50%"
"SRR22753398","HSV2_StrainG","16","8.14%"
"SRR22753398","KSHV","24","8.09%"
"SRR22753398","VZV_Ellen","0","-nan%"
"SRR22753399","EBV","0","-nan%"
"SRR22753399","HCMV","0","-nan%"
"SRR22753399","HHV6B","0","-nan%"
"SRR22753399","HHV7","0","-nan%"
"SRR22753399","HSV1_KOS","3","7.27%"
"SRR22753399","HSV2_StrainG","9","8.09%"
"SRR22753399","KSHV","28","7.83%"
"SRR22753399","VZV_Ellen","0","-nan%"
"SRR22753400","combined_herpes_viruses","0","-nan%"
"SRR22753401","combined_herpes_viruses","0","-nan%"
"SRR22753401","EBV","0","-nan%"
"SRR22753401","HCMV","0","-nan%"
"SRR22753401","HHV6B","0","-nan%"
"SRR22753401","HHV7","0","-nan%"
"SRR22753401","HSV1_KOS","95","3.77%"
"SRR22753401","HSV2_StrainG","1","0.00%"
"SRR22753401","KSHV","0","-nan%"
"SRR22753401","VZV_Ellen","0","-nan%"
"SRR22753402","combined_herpes_viruses","0","-nan%"
"SRR22753402","EBV","0","-nan%"
"SRR22753402","HCMV","0","-nan%"
"SRR22753402","HHV6B","1","9.46%"
"SRR22753402","HHV7","0","-nan%"
"SRR22753402","HSV1_KOS","16","2.38%"
"SRR22753402","HSV2_StrainG","0","-nan%"
"SRR22753402","KSHV","0","-nan%"
"SRR22753402","VZV_Ellen","0","-nan%"
"SRR22753403","EBV","13","0.63%"
"SRR22753403","HCMV","0","-nan%"
"SRR22753403","HHV6B","0","-nan%"
"SRR22753403","HHV7","0","-nan%"
"SRR22753403","HSV1_KOS","63","4.21%"
"SRR22753403","HSV2_StrainG","0","-nan%"
"SRR22753403","KSHV","0","-nan%"
"SRR22753403","VZV_Ellen","0","-nan%"
"SRR22753404","combined_herpes_viruses","0","-nan%"
"SRR22753404","EBV","0","-nan%"
"SRR22753404","HCMV","0","-nan%"
"SRR22753404","HHV6B","1","7.41%"
"SRR22753404","HHV7","0","-nan%"
"SRR22753404","HSV1_KOS","82","4.46%"
"SRR22753404","HSV2_StrainG","1","8.14%"
"SRR22753404","KSHV","3","6.42%"
"SRR22753404","VZV_Ellen","0","-nan%"
"SRR22753405","combined_herpes_viruses","0","-nan%"
"SRR22753405","EBV","0","-nan%"
"SRR22753405","HCMV","0","-nan%"
"SRR22753405","HHV6B","0","-nan%"
"SRR22753405","HHV7","1","9.41%"
"SRR22753405","HSV1_KOS","62","4.31%"
"SRR22753405","HSV2_StrainG","2","9.76%"
"SRR22753405","KSHV","3","5.08%"
"SRR22753405","VZV_Ellen","0","-nan%"
"SRR22753406","combined_herpes_viruses","0","-nan%"
"SRR22753406","EBV","0","-nan%"
"SRR22753406","HCMV","4","4.00%"
"SRR22753406","HHV6B","0","-nan%"
"SRR22753406","HHV7","0","-nan%"
"SRR22753406","HSV1_KOS","28","3.84%"
"SRR22753406","HSV2_StrainG","0","-nan%"
"SRR22753406","KSHV","3","4.59%"
"SRR22753406","VZV_Ellen","0","-nan%"
"SRR22753407","combined_herpes_viruses","0","-nan%"
"SRR22753407","EBV","0","-nan%"
"SRR22753407","HCMV","1","10.34%"
"SRR22753407","HHV6B","0","-nan%"
"SRR22753407","HHV7","0","-nan%"
"SRR22753407","HSV1_KOS","42","3.68%"
"SRR22753407","HSV2_StrainG","2","6.29%"
"SRR22753407","KSHV","3","9.09%"
"SRR22753407","VZV_Ellen","0","-nan%"
"SRR22753408","combined_herpes_viruses","0","-nan%"
"SRR22753408","EBV","0","-nan%"
"SRR22753408","HCMV","1","6.00%"
"SRR22753408","HHV6B","0","-nan%"
"SRR22753408","HHV7","0","-nan%"
"SRR22753408","HSV1_KOS","23","3.39%"
"SRR22753408","HSV2_StrainG","2","8.72%"
"SRR22753408","KSHV","5","4.72%"
"SRR22753408","VZV_Ellen","0","-nan%"
"SRR22753409","EBV","0","-nan%"
"SRR22753409","HCMV","0","-nan%"
"SRR22753409","HHV6B","0","-nan%"
"SRR22753409","HHV7","0","-nan%"
"SRR22753409","HSV1_KOS","6","7.72%"
"SRR22753409","HSV2_StrainG","1","9.09%"
"SRR22753409","KSHV","0","-nan%"
"SRR22753409","VZV_Ellen","0","-nan%"
"SRR22753410","combined_herpes_viruses","0","-nan%"
"SRR22753410","EBV","0","-nan%"
"SRR22753410","HCMV","0","-nan%"
"SRR22753410","HHV6B","0","-nan%"
"SRR22753410","HHV7","0","-nan%"
"SRR22753410","HSV1_KOS","9","5.15%"
"SRR22753410","HSV2_StrainG","0","-nan%"
"SRR22753410","KSHV","1","5.41%"
"SRR22753410","VZV_Ellen","0","-nan%"
"SRR22753411","combined_herpes_viruses","0","-nan%"
"SRR22753411","EBV","0","-nan%"
"SRR22753411","HCMV","0","-nan%"
"SRR22753411","HHV6B","0","-nan%"
"SRR22753411","HHV7","0","-nan%"
"SRR22753411","HSV1_KOS","0","-nan%"
"SRR22753411","HSV2_StrainG","0","-nan%"
"SRR22753411","KSHV","3","7.23%"
"SRR22753411","VZV_Ellen","0","-nan%"
"SRR22753412","combined_herpes_viruses","0","-nan%"
"SRR22753412","EBV","0","-nan%"
"SRR22753412","HCMV","0","-nan%"
"SRR22753412","HHV6B","1","9.33%"
"SRR22753412","HHV7","0","-nan%"
"SRR22753412","HSV1_KOS","1","7.79%"
"SRR22753412","HSV2_StrainG","3","6.76%"
"SRR22753412","KSHV","4","8.03%"
"SRR22753412","VZV_Ellen","0","-nan%"
"SRR22753413","combined_herpes_viruses","0","-nan%"
"SRR22753413","EBV","0","-nan%"
"SRR22753413","HCMV","0","-nan%"
"SRR22753413","HHV6B","0","-nan%"
"SRR22753413","HHV7","0","-nan%"
"SRR22753413","HSV1_KOS","0","-nan%"
"SRR22753413","HSV2_StrainG","2","4.03%"
"SRR22753413","KSHV","1","8.97%"
